Symbol,TransactionType,CompanyName,Exchange,Quantity,FXRate,Currency,SecurityType,Price,Amount,CreateDate
NVDA,Market - Sell,NVIDIA Corp,US,-1000,1,USD,Equities,$175.86 ,"$175,860.00 ",09/24/2025 - 12:15
NVDA,Market - Buy,NVIDIA Corp,US,1000,1,USD,Equities,$179.70 ,"($179,700.00)",09/24/2025 - 09:31
SOL,Market - Buy,Solana,CRYPTO,100,1,USD,Crypto,$220.80 ,"($22,080.00)",09/22/2025 - 13:27
AAPL,Market - Sell,Apple Inc,US,-2000,1,USD,Equities,$250.10 ,"$500,200.00 ",09/22/2025 - 09:34
SOL,Market - Buy,Solana,CRYPTO,300,1,USD,Crypto,$232.13 ,"($69,639.00)",09/21/2025 - 23:19
SOL,Market - Buy,Solana,CRYPTO,200,1,USD,Crypto,$238.48 ,"($47,696.00)",09/20/2025 - 07:50
SOL,Market - Sell,Solana,CRYPTO,-200,1,USD,Crypto,$251.00 ,"$50,200.00 ",09/18/2025 - 14:02
SOL,Market - Sell,Solana,CRYPTO,-300,1,USD,Crypto,$246.58 ,"$73,974.00 ",09/18/2025 - 00:08
NVDA,Market - Sell,NVIDIA Corp,US,-600,1,USD,Equities,$171.15 ,"$102,690.00 ",09/17/2025 - 09:36
TSLA,Market - Sell,Tesla Inc,US,-250,1,USD,Equities,$413.90 ,"$103,475.00 ",09/17/2025 - 09:35
UNH,Limit - Sell,Unitedhealth Group Inc,US,-800,1,USD,Equities,$339.89 ,"$271,912.00 ",09/16/2025 - 10:51
TSLA,Market - Buy,Tesla Inc,US,250,1,USD,Equities,$408.76 ,"($102,190.00)",09/15/2025 - 15:15
NVDA,Market - Buy,NVIDIA Corp,US,600,1,USD,Equities,$177.18 ,"($106,308.00)",09/15/2025 - 15:13
SOL,Market - Buy,Solana,CRYPTO,100,1,USD,Crypto,$233.79 ,"($23,379.00)",09/15/2025 - 11:27
UNH,Market - Buy,Unitedhealth Group Inc,US,800,1,USD,Equities,$348.96 ,"($279,168.00)",09/15/2025 - 11:05
META,Market - Sell,Meta Platforms Inc - Ordinary Shares - Class A,US,-260,1,USD,Equities,$758.00 ,"$197,080.00 ",09/15/2025 - 09:57
SOL,Market - Buy,Solana,CRYPTO,100,1,USD,Crypto,$234.98 ,"($23,498.00)",09/15/2025 - 06:28
SOL,Market - Buy,Solana,CRYPTO,100,1,USD,Crypto,$240.90 ,"($24,090.00)",09/15/2025 - 03:07
SOL,Market - Buy,Solana,CRYPTO,300,1,USD,Crypto,$243.54 ,"($73,062.00)",09/15/2025 - 02:01
ONDS,Stop - Sell,Ondas Holdings Inc,US,-16000,1,USD,Equities,$6.56 ,"$104,960.00 ",09/12/2025 - 13:02
AAPL,Market - Buy,Apple Inc,US,1000,1,USD,Equities,$233.14 ,"($233,140.00)",09/12/2025 - 13:00
ONDS,Market - Buy,Ondas Holdings Inc,US,16000,1,USD,Equities,$6.47 ,"($103,520.00)",09/12/2025 - 11:51
UNH,Market - Sell,Unitedhealth Group Inc,US,-250,1,USD,Equities,$357.07 ,"$89,267.50 ",09/12/2025 - 11:41
